rubric_id,rubric_url,category_id,category_url
statPop_libro3_rubrica29,https://statutiascoli.it/statuti.html?id=2_3_30,commercio,https://statutiascoli.it/categorie.html?id=commercio
statPop_libro3_rubrica33,https://statutiascoli.it/statuti.html?id=2_3_34,animali,https://statutiascoli.it/categorie.html?id=animali
statPop_libro3_rubrica34,https://statutiascoli.it/statuti.html?id=2_3_35,commercio,https://statutiascoli.it/categorie.html?id=commercio
statPop_libro3_rubrica36,https://statutiascoli.it/statuti.html?id=2_3_37,commercio,https://statutiascoli.it/categorie.html?id=commercio
statPop_libro3_rubrica37,https://statutiascoli.it/statuti.html?id=2_3_38,commercio,https://statutiascoli.it/categorie.html?id=commercio
statPop_libro3_rubrica38,https://statutiascoli.it/statuti.html?id=2_3_39,commercio,https://statutiascoli.it/categorie.html?id=commercio
statPop_libro3_rubrica39,https://statutiascoli.it/statuti.html?id=2_3_40,commercio,https://statutiascoli.it/categorie.html?id=commercio
statPop_libro3_rubrica40,https://statutiascoli.it/statuti.html?id=2_3_41,commercio,https://statutiascoli.it/categorie.html?id=commercio
statPop_libro3_rubrica41,https://statutiascoli.it/statuti.html?id=2_3_42,commercio,https://statutiascoli.it/categorie.html?id=commercio
statPop_libro3_rubrica42,https://statutiascoli.it/statuti.html?id=2_3_43,produzione,https://statutiascoli.it/categorie.html?id=produzione
statPop_libro3_rubrica43,https://statutiascoli.it/statuti.html?id=2_3_44,commercio,https://statutiascoli.it/categorie.html?id=commercio
statPop_libro3_rubrica44,https://statutiascoli.it/statuti.html?id=2_3_45,commercio,https://statutiascoli.it/categorie.html?id=commercio
statPop_libro3_rubrica45,https://statutiascoli.it/statuti.html?id=2_3_46,commercio,https://statutiascoli.it/categorie.html?id=commercio
statPop_libro3_rubrica47,https://statutiascoli.it/statuti.html?id=2_3_48,commercio,https://statutiascoli.it/categorie.html?id=commercio
statPop_libro3_rubrica48,https://statutiascoli.it/statuti.html?id=2_3_49,produzione,https://statutiascoli.it/categorie.html?id=produzione
statPop_libro3_rubrica49,https://statutiascoli.it/statuti.html?id=2_3_50,produzione,https://statutiascoli.it/categorie.html?id=produzione
statPop_libro3_rubrica50,https://statutiascoli.it/statuti.html?id=2_3_51,produzione,https://statutiascoli.it/categorie.html?id=produzione
statPop_libro3_rubrica51,https://statutiascoli.it/statuti.html?id=2_3_52,produzione,https://statutiascoli.it/categorie.html?id=produzione
statPop_libro3_rubrica52,https://statutiascoli.it/statuti.html?id=2_3_53,urbanistica,https://statutiascoli.it/categorie.html?id=urbanistica
statPop_libro3_rubrica53,https://statutiascoli.it/statuti.html?id=2_3_54,urbanistica,https://statutiascoli.it/categorie.html?id=urbanistica
statPop_libro3_rubrica54,https://statutiascoli.it/statuti.html?id=2_3_55,vicinato,https://statutiascoli.it/categorie.html?id=vicinato
statPop_libro3_rubrica55,https://statutiascoli.it/statuti.html?id=2_3_56,vicinato,https://statutiascoli.it/categorie.html?id=vicinato
statPop_libro3_rubrica56,https://statutiascoli.it/statuti.html?id=2_3_57,vicinato,https://statutiascoli.it/categorie.html?id=vicinato
statPop_libro3_rubrica57,https://statutiascoli.it/statuti.html?id=2_3_58,vicinato,https://statutiascoli.it/categorie.html?id=vicinato
statPop_libro3_rubrica58,https://statutiascoli.it/statuti.html?id=2_3_59,decoroUrbano,https://statutiascoli.it/categorie.html?id=decoroUrbano
statPop_libro3_rubrica59,https://statutiascoli.it/statuti.html?id=2_3_60,vicinato,https://statutiascoli.it/categorie.html?id=vicinato
statPop_libro3_rubrica60,https://statutiascoli.it/statuti.html?id=2_3_61,vicinato,https://statutiascoli.it/categorie.html?id=vicinato
statPop_libro3_rubrica61,https://statutiascoli.it/statuti.html?id=2_3_62,vicinato,https://statutiascoli.it/categorie.html?id=vicinato
statPop_libro3_rubrica62,https://statutiascoli.it/statuti.html?id=2_3_63,vicinato,https://statutiascoli.it/categorie.html?id=vicinato
statPop_libro3_rubrica63,https://statutiascoli.it/statuti.html?id=2_3_64,vicinato,https://statutiascoli.it/categorie.html?id=vicinato
statPop_libro3_rubrica64,https://statutiascoli.it/statuti.html?id=2_3_65,decoroUrbano,https://statutiascoli.it/categorie.html?id=decoroUrbano
statPop_libro3_rubrica65,https://statutiascoli.it/statuti.html?id=2_3_66,urbanistica,https://statutiascoli.it/categorie.html?id=urbanistica
statPop_libro3_rubrica66,https://statutiascoli.it/statuti.html?id=2_3_67,vicinato,https://statutiascoli.it/categorie.html?id=vicinato
statPop_libro3_rubrica67,https://statutiascoli.it/statuti.html?id=2_3_68,vicinato,https://statutiascoli.it/categorie.html?id=vicinato
statPop_libro3_rubrica68,https://statutiascoli.it/statuti.html?id=2_3_69,decoroUrbano,https://statutiascoli.it/categorie.html?id=decoroUrbano
statPop_libro3_rubrica69,https://statutiascoli.it/statuti.html?id=2_3_70,decoroUrbano,https://statutiascoli.it/categorie.html?id=decoroUrbano
statPop_libro3_rubrica70,https://statutiascoli.it/statuti.html?id=2_3_71,decoroUrbano,https://statutiascoli.it/categorie.html?id=decoroUrbano
statPop_libro3_rubrica71,https://statutiascoli.it/statuti.html?id=2_3_72,urbanistica,https://statutiascoli.it/categorie.html?id=urbanistica
statPop_libro3_rubrica72,https://statutiascoli.it/statuti.html?id=2_3_73,urbanistica,https://statutiascoli.it/categorie.html?id=urbanistica
statPop_libro3_rubrica72,https://statutiascoli.it/statuti.html?id=2_3_73,fonti,https://statutiascoli.it/categorie.html?id=fonti
statPop_libro3_rubrica73,https://statutiascoli.it/statuti.html?id=2_3_74,fonti,https://statutiascoli.it/categorie.html?id=fonti
